COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;SITIO;;ROCHA;;SN;;;;;;;;;;;-19.72901;-44.567599972222226;738.0;PONTE ALTA;3;35694000
31;63102;05;00;2;SITIO;;ROSA MARIA;;SN;;;;;;;;;;;-19.75805663888889;-44.54002997222222;718.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;SANTANA;;SN;;;;;;;;;;;-19.770576666666667;-44.58642997222223;756.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;;SUMARE;;SN;;;;;;;;;;;-19.75838663888889;-44.591503333333335;794.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;;TOCA DA VIOLA;;SN;;;;;;;;;;;-19.749308305555555;-44.538605;750.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;TRES LAGOAS;;SN;;;;;;;;;;;-19.741005;-44.526046666666666;714.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;PADRE;LIBERIO;;SN;;;;;;;;;;;-19.77131497222222;-44.58815;780.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;SANTA;RITA II;;SN;;;;;;;;;;;-19.73797163888889;-44.51705666666667;724.0;ESTRADA DE TRINDADE A SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;SANTO;ANTONIO;;SN;;;;;;;;;;;-19.772981638888886;-44.605474972222225;795.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;SITIO;SAO;GERALDO;;SN;;;;;;;;;;;-19.761458333333334;-44.59001663888889;796.0;LAGOA PRETA;3;35694000
